id,location,category,independent,wikisource,scan,assessment,incremental_value
WS-001,"running headers","furniture","one header for each column","one header in noinclude","A ANTES DO B. is printed above both columns","independent is correct; Wikisource loses the repeated instance","none"
WS-002,"column 1, Aburamigaqi headword","character sequence","Aburamiqei","Aburamigaqi","Aburamigaqi","Wikisource agrees with a correction already established before exposure","confirmation only"
WS-003,"column 1, Aburamigaqi definition","character sequence","acepinhada","acepilhada","acepilhada","Wikisource agrees with a correction already established before exposure","confirmation only"
WS-004,"column 1, following headword","capitalization","Aburamono","aburamono","aburamono","Wikisource supplies a new correction","new correction"
WS-005,"column 1, Aburamuxi definition","character sequence","Barata bicha","Barata bicho","Barata bicha","independent is correct; Wikisource changes final a to o","none"
WS-006,"cross-column continuation after Aburamuxi","lineation and division","aruo-↵res","aruores","aruo-↵res","independent preserves the printed division; Wikisource provides only continuous text","none"
WS-007,"column 2, Aburaqeno mono definition","glyph and lineation","mi-↵ſturado","misturado","mi-↵ſturado","independent preserves both the division and long s; Wikisource normalizes both","none"
WS-008,"column 2, Aburaqega example","spacing","Aburaqe ga ſuru","Aburaqega ſuru","Aburaqega ſuru","Wikisource supplies a new correction","new correction"
WS-009,"column 2, Aburicaraxi definition","glyph","Aſſar","Aẞar","Aſſar","independent is correct; Wikisource substitutes capital sharp s for long-s sequence","none"
WS-010,"column 2, Aburicaraxi definition","character sequence","ſeccar","ſecar","ſecar","Wikisource supplies a new correction","new correction"
WS-011,"column 2, final entry headword","character sequence","Aburicauaraque","Aburicauarague","Aburicauarague","Wikisource supplies a new correction","new correction"
WS-012,"column 2, catchword","furniture and editorial notation","Aburico- with form=divided","omitted","Aburico with no printed hyphen","neither is diplomatically exact; the independent format preserves the catchword and its function but adds a character not present in print","format correction"
WS-013,"selected lexical zones","typeface","not represented","Portuguese explanations generally marked as italic","headwords and Japanese forms are generally roman while explanations are generally italic","Wikisource preserves a potentially meaningful distinction absent from format version 0; accuracy needs a wider audit","format evidence"
