event_id	page	line	phase	step	before	after	outcome	finder	categories	provenance	note
f13-001	f0013	c1-l005	human_review	1	vogaes	vogaeſ	intermediate	human_visual	short_s/long_s	47ed630	Terminal s was first classified as long s; renewed inspection reversed that part.
f13-002	f0013	c1-l005	human_review	2	vogaeſ	vogais	accepted	human_visual	vowel;short_s/long_s	6b4d898	The printed sequence is ai plus final short s.
f13-003	f0013	c1-l005	human_review	1	são	ſão	accepted	human_visual	short_s/long_s	6b4d898	Initial s in the final word is long s.
f13-004	f0013	c1-l007	human_review	1	Interieição	Interieção	accepted	human_visual	modern_portuguese_bias;vowel	8cdc194	Printed historical spelling lacks the extra i.
f13-005	f0013	c1-l009	repetition_sweep	1	interieição	interieção	accepted	same_page_repetition	modern_portuguese_bias;vowel	8cdc194	Parallel occurrence found from the first correction.
f13-006	f0013	c1-l016	repetition_sweep	1	Interieição	Interieção	accepted	same_page_repetition	modern_portuguese_bias;vowel	8cdc194	Parallel occurrence found from the first correction.
f13-007	f0013	c1-l025	human_review	1	Communmente	Comummente	accepted	human_visual	consonant_count;modern_portuguese_bias	5234c88	One printed m was lost to familiar spelling expectation.
f13-008	f0013	c1-l033	human_review	1	perali	peralj	reverted	human_visual	i/j	c8d1f94	A proposed final j was not sustained by context or later inspection.
f13-009	f0013	c1-l033	human_review	2	peralj	perali	intermediate	context_review	i/j	fdd8098	Restored i before the accent itself was identified.
f13-010	f0013	c1-l033	human_review	3	cã perali	cà peralì	intermediate	human_visual	tilde/grave;base_letter	4403fa5	Both diagonal marks were recognized as graves; final base was still provisional.
f13-011	f0013	c1-l033	human_review	4	peralì	peralà	accepted	historical_portuguese	modern_portuguese_bias;base_letter;grave	af9e723	Historical phrase de cà peralà and the scan establish final à.
f13-012	f0013	c1-l034	human_review	1	deſfeita	desfeita	accepted	human_visual	short_s/long_s;modern_portuguese_bias	899fe6c	The medial character is short s.
f13-013	f0013	c2-l013	human_review	1	re,	re.	accepted	human_visual	punctuation	48338f7	Context favors a comma but the printed mark is a point.
f13-014	f0013	c2-l019	human_review	1	Na-	Ne-	accepted	japanese_context	vowel;line_continuation	4a7c3cf	Japanese nezumi exposed the first vowel.
f13-015	f0013	c2-l020	human_review	1	zuniga	zumiga	accepted	japanese_context	n/m;line_continuation	4a7c3cf	Japanese nezumi ga exposed n/m confusion across the line break.
f13-016	f0013	c2-l020	human_review	1	raios	ratos	accepted	bilingual_context	i/t;portuguese_semantics	4a7c3cf	The Japanese and gloss require rats, confirmed visually.
f13-017	f0013	c2-l022	human_review	1	Viuem	Virem	accepted	human_visual	u/r	6019942	The third character is r.
f13-018	f0013	c2-l027	human_review	1	abiuru	aburu	accepted	japanese_context	extra_letter	1c6c67b	The example uses aburu; an i had been supplied.
f13-019	f0013	c2-l029	human_review	1	tormen-	tormẽ-	accepted	human_visual	abbreviation_tilde;silent_expansion	aacab1d	Printed e-tilde abbreviation was expanded to en.
f13-020	f0013	c2-l033	human_review	1	fazzuru	fazzuſu	accepted	japanese_context	r/long_s	3776fc8	Japanese morphology and the long-s shape establish fazzuſu.
f13-021	f0013	c1-l002	convention_audit	1	Iaponi=	Iaponi-	accepted	typographic_audit	line_division;italic_form	930551e	Uniform encoding of the italic line-division sign.
f14-001	f0014	c1-l044	draft_review	1	Aburamiqei	Aburamigaqi	accepted	human_visual	g/q;vowel;japanese_context	precomparison-corrections.md	Exact frozen-draft correction preserved before external comparison.
f14-002	f0014	c1-l045	draft_review	1	acepinhada	acepilhada	accepted	human_visual	n/l;portuguese_context	precomparison-corrections.md	Exact frozen-draft correction preserved before external comparison.
f14-003	f0014	c1-l012	pre_handoff	1	laqi	ſaqi	accepted	japanese_context	l/long_s	17dad57	Japanese shita saki prompted enlargement.
f14-004	f0014	c1-l016	pre_handoff	1	unto	vnto	accepted	glyph_audit	u/v;modern_portuguese_bias	17dad57	Printed initial v retained.
f14-005	f0014	c1-l028	pre_handoff	1	q̃ uſão	q̃ vſão	intermediate	glyph_audit	u/v	17dad57	The initial v survived, but human review later changed the medial long s to z.
f14-006	f0014	c1-l007	human_review	1	ate a fiuela	ate afiuela	accepted	human_visual	spacing;portuguese_expectation	a6e9bda	Expected grammar supplied a source space.
f14-007	f0014	c1-l008	human_review	1	chicaraqane	chicaragane	accepted	japanese_context	g/q	a6e9bda	Japanese chikara-gane exposes q/g confusion.
f14-008	f0014	c1-l010	human_review	1	nalba	naiba	accepted	human_visual	i/l	a6e9bda	Enlargement distinguishes i from l.
f14-009	f0014	c1-l011	human_review	1	baixo	baxo	accepted	historical_portuguese	modern_portuguese_bias;extra_letter	a6e9bda	Modern spelling supplied i.
f14-010	f0014	c1-l017	human_review	1	toucinho	touçinho	accepted	human_visual	c/cedilla;modern_portuguese_bias	a6e9bda	Cedilla was omitted during fluent reading.
f14-011	f0014	c1-l022	human_review	1	miru	mu	accepted	japanese_context	extra_letters;modern_japanese_bias	a6e9bda	Historical Japanese shimu exposed the supplied ir.
f14-012	f0014	c1-l023	human_review	1	funuuru	ſumuru	accepted	japanese_context	f/long_s;n/m/u	a6e9bda	Phrase-level Japanese context and enlargement resolve the difficult types.
f14-013	f0014	c1-l027	human_review	1	pastas	paſtas	accepted	human_visual	short_s/long_s	a6e9bda	Printed long s preserved.
f14-014	f0014	c1-l028	human_review	2	vſão	vzão	accepted	human_visual	long_s/z;modern_portuguese_bias	a6e9bda	Expected Portuguese displaced printed z.
