page	line	occurrence	token	token_start	token_end	marked_index	current_context	reviewed_token	mark_on	status
bnf-f0039	c1-l002	1	não	0	3	1	não	não	a	batch_review_unverified
bnf-f0039	c1-l002	2	não	19	22	1	não	não	a	batch_review_unverified
bnf-f0039	c1-l009	1	não	33	36	1	não	não	a	batch_review_unverified
bnf-f0039	c1-l011	1	hũa	42	45	1	hũa	hũa	u	batch_review_unverified
bnf-f0039	c1-l019	1	algũa	24	29	3	gũa	algũa	u	batch_review_unverified
bnf-f0039	c1-l020	1	coração	6	13	5	ção	coração	a	batch_review_unverified
bnf-f0039	c1-l021	1	não	12	15	1	não	não	a	batch_review_unverified
bnf-f0039	c1-l025	1	algũa	35	40	3	gũa	algũa	u	batch_review_unverified
bnf-f0039	c2-l005	1	dalgũa	31	37	4	gũa	dalgũa	u	batch_review_unverified
bnf-f0039	c2-l019	1	maõs	0	4	2	aõs	maõs	o	human_scan_confirmed
bnf-f0039	c2-l021	1	mãos	19	23	1	mão	mãos	a	batch_review_unverified
bnf-f0039	c2-l023	1	Hũa	10	13	1	Hũa	Hũa	u	batch_review_unverified
bnf-f0039	c2-l033	1	Iapão	3	8	3	pão	Iapão	a	batch_review_unverified
bnf-f0039	c2-l045	1	algũa	30	35	3	gũa	algũa	u	batch_review_unverified
bnf-f0039	c2-l046	1	algũa	18	23	3	gũa	algũa	u	batch_review_unverified
bnf-f0040	c1-l003	1	quẽte	31	36	2	uẽt	quẽte	e	human_scan_confirmed
bnf-f0040	c1-l004	1	poẽ	37	40	2	oẽ	poẽ	e	batch_review_unverified
bnf-f0040	c1-l008	1	hũa	36	39	1	hũa	hũa	u	batch_review_unverified
bnf-f0040	c1-l009	1	hũa	33	36	1	hũa	hũa	u	batch_review_unverified
bnf-f0040	c1-l023	1	chão	14	18	2	hão	chão	a	batch_review_unverified
bnf-f0040	c1-l024	1	algũa	24	29	3	gũa	algũa	u	batch_review_unverified
bnf-f0040	c1-l027	1	tocão	15	20	3	cão	tocão	a	batch_review_unverified
